Player Id,Name,INCOMP,Overthrows,Overthrow %,Underthrow,Underthrow %,In front,In front %,Behind,Behind %,Misread coverage,Misread coverage %,QB Slip,QB Slip %,Hit helmet,Hit Helmet %,Receiver error,Receiver error %,Def. caused,Def. caused %,Other,Other %,,,,,,,
1725,Philip Rivers,34,3,8.82%,3,8.82%,5,14.7%,2,5.88%,0,0.00%,0,0.00%,0,0.00%,2,5.88%,14,41.18%,5,14.71%,,,,,,,
2241,Aaron Rodgers,187,21,11.23%,10,5.35%,13,7.0%,11,5.88%,1,0.53%,0,0.00%,0,0.00%,29,15.51%,65,34.76%,35,18.72%,,,,,,,
4332,Joe Flacco,165,14,8.48%,5,3.03%,12,7.3%,8,4.85%,3,1.82%,0,0.00%,0,0.00%,35,21.21%,51,30.91%,33,20.00%,,,,,,,
4474,Josh Johnson,20,0,0.00%,1,5.00%,1,5.0%,1,5.00%,1,5.00%,0,0.00%,0,0.00%,1,5.00%,10,50.00%,3,15.00%,,,,,,,
4924,Matthew Stafford,262,37,14.12%,10,3.82%,23,8.8%,9,3.44%,4,1.53%,0,0.00%,0,0.00%,37,14.12%,96,36.64%,42,16.03%,,,,,,,
6187,Andy Dalton,12,1,8.33%,0,0.00%,1,8.3%,2,16.67%,0,0.00%,0,0.00%,0,0.00%,2,16.67%,3,25.00%,3,25.00%,,,,,,,
6332,Tyrod Taylor,54,5,9.26%,2,3.70%,4,7.4%,5,9.26%,0,0.00%,0,0.00%,0,0.00%,12,22.22%,19,35.19%,6,11.11%,,,,,,,
7077,Russell Wilson,50,4,8.00%,2,4.00%,3,6.0%,2,4.00%,0,0.00%,0,0.00%,0,0.00%,8,16.00%,14,28.00%,17,34.00%,,,,,,,
7102,Kirk Cousins,103,8,7.77%,7,6.80%,5,4.9%,2,1.94%,1,0.97%,0,0.00%,0,0.00%,19,18.45%,36,34.95%,22,21.36%,,,,,,,
7820,Geno Smith,146,12,8.22%,8,5.48%,7,4.8%,11,7.53%,5,3.42%,0,0.00%,0,0.00%,22,15.07%,60,41.10%,19,13.01%,,,,,,,
8667,Teddy Bridgewater,7,1,14.29%,1,14.29%,0,0.0%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,14.29%,3,42.86%,1,14.29%,,,,,,,
9434,Jameis Winston,29,2,6.90%,0,0.00%,4,13.8%,1,3.45%,1,3.45%,0,0.00%,0,0.00%,7,24.14%,8,27.59%,6,20.69%,,,,,,,
9435,Marcus Mariota,88,19,21.59%,3,3.41%,9,10.2%,0,0.00%,2,2.27%,0,0.00%,0,0.00%,11,12.50%,27,30.68%,15,17.05%,,,,,,,
10635,Jared Goff,185,16,8.65%,16,8.65%,18,9.7%,9,4.86%,2,1.08%,0,0.00%,0,0.00%,23,12.43%,53,28.65%,46,24.86%,,,,,,,
10636,Carson Wentz,59,10,16.95%,3,5.08%,1,1.7%,4,6.78%,2,3.39%,0,0.00%,0,0.00%,6,10.17%,23,38.98%,9,15.25%,,,,,,,
10679,Derrick Henry,1,0,0.00%,0,0.00%,0,0.0%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,,,,,,,
10725,Jacoby Brissett,170,19,11.18%,10,5.88%,16,9.4%,8,4.71%,1,0.59%,0,0.00%,0,0.00%,22,12.94%,58,34.12%,35,20.59%,,,,,,,
10769,Dak Prescott,196,29,14.80%,12,6.12%,12,6.1%,1,0.51%,0,0.00%,0,0.00%,0,0.00%,33,16.84%,87,44.39%,19,9.69%,,,,,,,
10835,Brandon Allen,13,1,7.69%,1,7.69%,2,15.4%,1,7.69%,0,0.00%,0,0.00%,0,0.00%,1,7.69%,6,46.15%,1,7.69%,,,,,,,
11757,Mitch Trubisky,10,2,20.00%,0,0.00%,1,10.0%,1,10.00%,0,0.00%,0,0.00%,0,0.00%,2,20.00%,2,20.00%,2,20.00%,,,,,,,
11763,Christian McCaffrey,1,0,0.00%,0,0.00%,0,0.0%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,,,,,,,
11765,Patrick Mahomes,187,23,12.30%,12,6.42%,18,9.6%,7,3.74%,1,0.53%,1,0.53%,1,0.53%,29,15.51%,54,28.88%,39,20.86%,,,,,,,
11824,Cooper Kupp,1,0,0.00%,0,0.00%,1,100.0%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,,,,,
