player,player_id,Included in rank?,Clean pocket,Clean pocket att,Under pressure,Under pressure att,No blitz,No blitz att,Blitz,Blitz att,No screen,No screen att,Screen,Screen att,No play action,No play action att,play action,play action att,Throws in less than 2.5s,Throws in less than 2.5s att,Throws in more than 2.5s,Throws in more than 2.5s att,Under center,Under center att,Shotgun,Shotgun att,Single high,Single high att,Two high,Two high att,Safety rotation,Safety rotation att,No safety rotation,No safety rotation att,Early down,Early down att,Late downs,Late downs att,2 min drill ,2 min drill att,Red zone,Red zone att
Matthew Stafford,4924,1,95.6,510,57.8,206,92.9,472,76.6,244,92,666,63.3,50,87.1,471,91.9,245,90.4,298,89.4,414,90.4,284,87.9,466,91.5,398,84.5,273,82.4,266,91.7,486,93.3,559,72.1,197,80.5,90,70.8,139
Caleb Williams,144622,1,80,453,54.3,205,68.6,429,73.4,229,72.6,584,61.4,74,67.4,445,75.9,213,69,254,71.9,402,79.4,196,68.3,479,68.5,372,75.4,254,60.4,234,76.6,455,74.5,490,63.6,196,71.6,131,46.7,94
Bo Nix,97790,1,89.3,465,44.3,193,74.8,470,72.2,188,75.8,569,68.5,89,78.8,479,63.5,179,77.1,281,72.6,376,61.6,104,78.1,558,78.7,336,74.6,298,71.1,222,75.4,473,71.2,481,74.4,210,72.6,96,68.3,102
Drake Maye,143969,1,90.1,436,46.5,176,80.1,409,64,203,76.5,571,66.9,41,70.2,468,86.2,144,69.1,261,77.6,351,85.6,133,70.9,516,69.4,336,87.7,251,88.4,233,65.4,416,74.7,452,73.4,195,54.1,93,56.4,88
Dak Prescott,10769,1,86.5,414,73.7,186,80.4,407,84.5,193,85.5,563,66.3,37,81.1,434,84.5,166,81.8,266,82.1,331,74.2,131,85.9,507,90.8,270,78.7,293,84.6,196,80.7,450,76.2,449,88.9,197,73.7,114,51.1,116
Trevor Lawrence,77632,1,86.1,407,64.1,183,80.2,409,73.1,181,82.6,522,53.6,68,81.5,442,69.3,148,80.3,262,76.6,325,71.3,124,80.1,493,73.9,343,85.1,218,71.2,246,82.7,379,79.6,471,75.5,156,79.6,69,62.7,104
Jared Goff,10635,1,87.6,395,52.8,183,73.5,371,75.8,207,77.7,514,60.4,64,76.6,415,70.2,163,83.5,298,66.9,278,72.1,164,75.7,431,79.8,292,73.5,237,73.8,207,74.9,388,75.3,420,72.9,177,75.7,106,63.4,100
Sam Darnold,29048,1,90.6,389,53.1,179,79.8,353,72.9,215,80.2,524,64.3,44,70.1,410,90.5,158,74.4,262,80.2,302,82.2,197,71.6,383,80.6,300,72.6,239,73.4,196,79.5,400,86.2,437,58.4,161,76.7,88,68.5,94
Baker Mayfield,46518,1,77.8,390,39.4,153,69,362,56.2,181,64.1,473,66.6,70,61.9,423,70.6,120,73.8,277,56.3,265,68.9,89,62.3,485,64.2,323,68.3,221,64.8,257,63.6,330,65,418,61.3,165,61.4,108,68.8,81
Justin Herbert,28237,1,87.1,351,49.8,192,71.5,342,70.6,201,73.3,506,61.7,37,69,405,76.8,138,79.2,261,65.2,282,75.9,86,69.5,470,70.7,306,84.3,201,75,189,69,379,74.7,405,65.3,163,70,68,48.8,85
Cam Ward,133244,1,70,379,34.7,161,52.6,387,64.7,153,55.1,468,66.3,72,54.1,411,64,129,57.3,250,57.2,287,63.6,72,55.4,498,51.4,298,65.7,238,64.2,216,52.2,356,54.4,402,60.9,173,51.2,122,70.1,58
Josh Allen,46601,1,90.9,379,61.7,155,86.4,332,71.6,202,85.2,462,63.2,72,80,375,82.2,159,89.5,241,75.2,292,85,135,80.1,424,77.6,340,88.4,168,74.6,198,84.3,365,83.2,402,76.9,155,81.5,53,72.5,89
Aaron Rodgers,2241,1,80,413,38.8,118,67.1,414,69.1,117,67.3,443,71.1,88,70.4,420,59.4,111,80.1,313,52.9,216,65.2,90,68.9,466,63.4,253,73.8,250,54.3,153,74.1,407,68.1,393,65.3,166,70,103,71.2,88
Bryce Young,123943,1,70.5,345,61.7,173,68.2,351,65.3,167,67.9,474,65.7,44,66.8,392,68.4,126,65.5,257,69.1,259,57.9,75,70.5,440,59,288,76.6,217,61.1,191,70.7,359,65.5,381,69.5,168,63.9,110,55.4,81
Patrick Mahomes,11765,1,75.2,354,59.4,148,66.5,374,75.8,128,69.9,429,69.4,73,71.3,384,64.2,118,64.7,263,73.6,237,51.7,35,72,493,61.9,287,78.4,189,59.7,151,74.2,383,71.2,396,63.8,137,79.1,72,65.5,96
