Player Id,Name,Team,QB Decision,PASS GRD,Att
1725,Philip Rivers,Colts,Checkdown,59.7,10
1725,Philip Rivers,Colts,First Read,49.3,71
1725,Philip Rivers,Colts,Scramble Drill,60.4,1
1725,Philip Rivers,Colts,Next Read,52.7,8
1725,Philip Rivers,Colts,N/A,63.4,12
2241,Aaron Rodgers,Steelers,Checkdown,67.4,73
2241,Aaron Rodgers,Steelers,Hail Mary,59.5,1
2241,Aaron Rodgers,Steelers,First Read,68.3,349
2241,Aaron Rodgers,Steelers,Scramble Drill,83.9,43
2241,Aaron Rodgers,Steelers,Next Read,37.2,60
2241,Aaron Rodgers,Steelers,N/A,69.1,86
4332,Joe Flacco,Bengals,Checkdown,48.7,67
4332,Joe Flacco,Bengals,Hail Mary,52.1,1
4332,Joe Flacco,Bengals,First Read,73.2,295
4332,Joe Flacco,Bengals,Scramble Drill,52.6,15
4332,Joe Flacco,Bengals,Next Read,55.9,55
4332,Joe Flacco,Bengals,N/A,64,33
4474,Josh Johnson,Commanders,Checkdown,34,5
4474,Josh Johnson,Commanders,First Read,64.2,49
4474,Josh Johnson,Commanders,Next Read,42.9,9
4474,Josh Johnson,Commanders,N/A,62.1,9
4924,Matthew Stafford,Rams,Checkdown,59.4,88
4924,Matthew Stafford,Rams,First Read,94.2,535
4924,Matthew Stafford,Rams,Scramble Drill,52,21
4924,Matthew Stafford,Rams,Next Read,71.1,96
4924,Matthew Stafford,Rams,N/A,59.1,57
6187,Andy Dalton,Panthers,Checkdown,60.4,1
6187,Andy Dalton,Panthers,First Read,69.5,38
6187,Andy Dalton,Panthers,Scramble Drill,60.5,1
6187,Andy Dalton,Panthers,Next Read,49.2,6
6187,Andy Dalton,Panthers,N/A,27.5,4
6332,Tyrod Taylor,Jets,Checkdown,64.5,10
6332,Tyrod Taylor,Jets,First Read,50.6,116
6332,Tyrod Taylor,Jets,Scramble Drill,90.5,15
6332,Tyrod Taylor,Jets,Next Read,56.6,22
6332,Tyrod Taylor,Jets,N/A,62.1,15
7077,Russell Wilson,Giants,Checkdown,62.2,22
7077,Russell Wilson,Giants,First Read,64.7,94
7077,Russell Wilson,Giants,Scramble Drill,68.1,8
7077,Russell Wilson,Giants,Next Read,54.5,17
7077,Russell Wilson,Giants,N/A,58.3,11
7102,Kirk Cousins,Falcons,Checkdown,67.5,44
7102,Kirk Cousins,Falcons,First Read,79.7,165
7102,Kirk Cousins,Falcons,Scramble Drill,57.4,4
7102,Kirk Cousins,Falcons,Next Read,63.5,47
7102,Kirk Cousins,Falcons,N/A,55.1,42
7820,Geno Smith,Raiders,Checkdown,66.3,62
7820,Geno Smith,Raiders,First Read,59.8,358
7820,Geno Smith,Raiders,Scramble Drill,78.2,23
7820,Geno Smith,Raiders,Next Read,30.5,57
7820,Geno Smith,Raiders,N/A,62.7,57
8667,Teddy Bridgewater,Buccaneers,First Read,48.4,13
8667,Teddy Bridgewater,Buccaneers,Scramble Drill,60,1
8667,Teddy Bridgewater,Buccaneers,Next Read,43.9,2
8667,Teddy Bridgewater,Buccaneers,N/A,63.7,4
9434,Jameis Winston,Giants,Checkdown,58.1,5
9434,Jameis Winston,Giants,First Read,62.3,55
9434,Jameis Winston,Giants,Scramble Drill,95.7,2
9434,Jameis Winston,Giants,Next Read,51.4,9
9434,Jameis Winston,Giants,N/A,64.1,5
9435,Marcus Mariota,Commanders,Checkdown,61.1,13
9435,Marcus Mariota,Commanders,First Read,82.2,196
9435,Marcus Mariota,Commanders,Scramble Drill,27.1,25
9435,Marcus Mariota,Commanders,Next Read,76.1,19
9435,Marcus Mariota,Commanders,N/A,58.4,32
10635,Jared Goff,Lions,Checkdown,63.8,57
10635,Jared Goff,Lions,First Read,80.5,423
10635,Jared Goff,Lions,Scramble Drill,58.5,18
10635,Jared Goff,Lions,Next Read,63.7,75
10635,Jared Goff,Lions,N/A,60.9,75
10636,Carson Wentz,Vikings,Checkdown,65.9,14
10636,Carson Wentz,Vikings,First Read,53.2,128
10636,Carson Wentz,Vikings,Scramble Drill,69.5,11
10636,Carson Wentz,Vikings,Next Read,31.6,34
10636,Carson Wentz,Vikings,N/A,61.3,23
10725,Jacoby Brissett,Cardinals,Checkdown,56.7,69
10725,Jacoby Brissett,Cardinals,Hail Mary,60.3,2
10725,Jacoby Brissett,Cardinals,First Read,80.4,367
10725,Jacoby Brissett,Cardinals,Scramble Drill,28.9,24
10725,Jacoby Brissett,Cardinals,Next Read,37.9,73
10725,Jacoby Brissett,Cardinals,N/A,66,46
10769,Dak Prescott,Cowboys,Checkdown,59,90
10769,Dak Prescott,Cowboys,Hail Mary,53.1,1
10769,Dak Prescott,Cowboys,First Read,86.7,464
10769,Dak Prescott,Cowboys,Scramble Drill,77.3,23
10769,Dak Prescott,Cowboys,Next Read,76.1,100
10769,Dak Prescott,Cowboys,N/A,63.7,34
10835,Brandon Allen,Titans,Checkdown,63.6,4
10835,Brandon Allen,Titans,First Read,45.4,15
10835,Brandon Allen,Titans,Scramble Drill,70.7,1
10835,Brandon Allen,Titans,Next Read,21.3,4
10835,Brandon Allen,Titans,N/A,66,8
11757,Mitch Trubisky,Bills,Checkdown,63,3
11757,Mitch Trubisky,Bills,First Read,80.8,26
11757,Mitch Trubisky,Bills,Scramble Drill,56,2
