Player Id,Name,Team,Included in rank?,Season,PASS GRD,DB,ATT,COMP,COMP%,PASS YDS,PASS YPA,PASS TD,INT,SK,SCR,avgTTT,BP,PBU,TWP,BTT,DP,RTG,1D,BTT%,TWP%,All -,All +,AP DB,Pos %,Neg %,ADOT,ACC%,PS%,SS%,aComp%,RUSH YDS,YPC,AIR%,UNC INAC%,PLUS%,YAC%,CAT INAC%,OTHER%,PA%,Under pressure grade,Clean pocket grade,Pressured DBs,Pressured Sacks,P2S%
1725,Philip Rivers,Colts,0,2025,35.299999999999997,24,22,14,0.63600000000000001,144,6.5,0,3,2,0,2.35,0,3,3,0,0,42.8,5,0,0.12,5,4,25,0.16,0.2,9.1,0.45,0.40899999999999997,0.54500000000000004,0.66700000000000004,0,0,0.49299999999999999,0.25,0.05,0.50700000000000001,0.3,0.1,4.2000000000000003E-2,40.6,40.1,8,2,0.25
2241,Aaron Rodgers,Steelers,1,2025,68.2,104,94,59,0.628,573,6.1,6,1,8,2,2.5499999999999998,2,6,3,7,3,96.6,25,6.9000000000000006E-2,2.7E-2,17,18,112,0.16071428571428573,0.15178571428571427,8.1,0.65,0.33,0.57499999999999996,0.72899999999999998,6,3,0.47499999999999998,0.22500000000000001,0.2,0.53900000000000003,0.125,0.17499999999999999,0.16400000000000001,31,81,26,8,0.30769230769230771
4332,Joe Flacco,Bengals,1,2025,77.3,133,126,72,0.57099999999999995,749,5.9,5,3,6,1,2.56,1,10,2,7,10,77.8,36,5.0999999999999997E-2,1.4E-2,18,34,143,0.23776223776223776,0.12587412587412589,8.6,0.57599999999999996,0.42899999999999999,0.47599999999999998,0.71899999999999997,4,4,0.54100000000000004,0.17,0.23599999999999999,0.48199999999999998,0.255,0.16,0.15,63.4,81.7,48,6,0.125
4474,Josh Johnson,Commanders,0,2025,61.6,14,11,9,0.81799999999999995,70,6.4,1,0,0,3,2.96,0,0,0,0,0,123.5,7,0,0,2,5,17,0.29411764705882354,0.11764705882352941,3.5,0.8,0.27300000000000002,0.63600000000000001,0.9,17,5.7,0.5,0.1,0,0.629,0.1,0,0.214,71.8,55.9,4,0,0
4924,Matthew Stafford,Rams,1,2025,87.4,162,156,102,0.65400000000000003,1337,8.6,11,1,5,1,2.73,2,11,3,14,7,113.1,61,8.5999999999999993E-2,1.7999999999999999E-2,20,44,169,0.26035502958579881,0.11834319526627218,10.6,0.67200000000000004,0.48699999999999999,0.46800000000000003,0.73199999999999998,3,3,0.56999999999999995,0.17499999999999999,0.248,0.435,0.153,0.124,0.27200000000000002,78.7,86,52,5,9.6153846153846159E-2
6187,Andy Dalton,Panthers,0,2025,64.599999999999994,4,4,2,0.5,39,9.8000000000000007,0,0,0,0,2.63,0,1,0,0,0,84.4,1,0,0,1,1,4,0.25,0.25,22.7,0.33300000000000002,0.5,0.25,0.66700000000000004,0,0,0.94899999999999995,0.33300000000000002,0,5.0999999999999997E-2,0.33300000000000002,0.33300000000000002,0.25,60,66.7,1,0,0
6332,Tyrod Taylor,Jets,1,2025,55.4,53,40,22,0.55000000000000004,247,6.2,1,1,6,7,3.32,1,3,3,0,3,71.599999999999994,15,0,5.5E-2,4,10,55,0.18181818181818182,7.2727272727272724E-2,10.3,0.45200000000000001,0.35,0.5,0.73499999999999999,54,7.7,0.48599999999999999,0.22600000000000001,0.22600000000000001,0.55100000000000005,0.32300000000000001,0.28999999999999998,0.113,45.5,62.1,21,6,0.2857142857142857
7077,Russell Wilson,Giants,0,2025,62.5,50,41,23,0.56100000000000005,297,7.2,2,1,4,5,3.01,0,2,3,3,2,85.1,14,6.8000000000000005E-2,5.7000000000000002E-2,7,13,53,0.24528301886792453,0.13207547169811321,13.1,0.64500000000000002,0.39,0.439,0.73499999999999999,44,8.8000000000000007,0.67300000000000004,0.129,0.129,0.36699999999999999,0.22600000000000001,0.32300000000000001,0.2,32.9,80.900000000000006,22,3,0.13636363636363635
7102,Kirk Cousins,Falcons,1,2025,61.4,64,59,32,0.54200000000000004,407,6.9,3,0,3,0,2.5299999999999998,0,4,3,2,4,93,23,0.03,4.2000000000000003E-2,13,18,71,0.25352112676056338,0.18309859154929578,8.9,0.58499999999999996,0.47499999999999998,0.441,0.66700000000000004,0,0,0.48199999999999998,0.245,0.20799999999999999,0.52800000000000002,0.17,0.13200000000000001,0.23400000000000001,47.8,71.599999999999994,27,3,0.1111111111111111
7820,Geno Smith,Raiders,1,2025,58,71,60,46,0.76700000000000002,442,7.4,3,1,8,3,2.83,2,3,2,0,3,106.4,22,0,2.5999999999999999E-2,7,10,76,0.13157894736842105,9.2105263157894732E-2,5.6,0.73699999999999999,0.317,0.63300000000000001,0.86,7,2.2999999999999998,0.39600000000000002,0.105,0.123,0.622,0.158,5.2999999999999999E-2,0.127,35.700000000000003,71.900000000000006,25,8,0.32
9434,Jameis Winston,Giants,0,2025,48.1,30,27,12,0.44400000000000001,173,6.4,0,2,2,1,3.08,0,5,3,2,1,35,9,6.7000000000000004E-2,9.0999999999999998E-2,9,8,33,0.24242424242424243,0.27272727272727271,11.9,0.375,0.63,0.29599999999999999,0.52,11,11,0.73399999999999999,0.33300000000000002,0.125,0.26600000000000001,0.29199999999999998,0.125,0.3,63.2,40.299999999999997,13,2,0.15384615384615385
9435,Marcus Mariota,Commanders,1,2025,70.099999999999994,46,42,20,0.47599999999999998,334,8,2,1,1,3,2.69,0,4,3,6,2,80.900000000000006,16,0.128,5.8999999999999997E-2,12,21,51,0.41176470588235292,0.23529411764705882,14.7,0.57099999999999995,0.66700000000000004,0.214,0.59499999999999997,59,19.7,0.70399999999999996,0.314,0.22900000000000001,0.29899999999999999,0.114,0.17100000000000001,0.26100000000000001,51.2,77.8,13,1,7.6923076923076927E-2
10635,Jared Goff,Lions,1,2025,60.1,140,133,75,0.56399999999999995,904,6.8,4,1,7,0,2.4700000000000002,6,10,4,1,6,84.3,41,7.0000000000000001E-3,2.7E-2,24,29,149,0.19463087248322147,0.16107382550335569,7.6,0.64100000000000001,0.36099999999999999,0.504,0.70399999999999996,0,0,0.50800000000000001,0.19400000000000001,0.20399999999999999,0.502,0.16500000000000001,0.28199999999999997,0.157,41,72,51,7,0.13725490196078433
10636,Carson Wentz,Vikings,1,2025,56.8,48,42,27,0.64300000000000002,333,7.9,2,0,4,2,2.61,0,6,1,1,1,104.6,17,2.3E-2,0.02,9,11,51,0.21568627450980393,0.17647058823529413,9.8000000000000007,0.41,0.54800000000000004,0.40500000000000003,0.7,28,14,0.60099999999999998,0.28199999999999997,0.17899999999999999,0.39900000000000002,0.308,5.0999999999999997E-2,0.14599999999999999,62.1,54.8,15,4,0.26666666666666666
10725,Jacoby Brissett,Cardinals,1,2025,53.6,86,73,43,0.58899999999999997,458,6.3,2,1,7,6,2.99,0,7,3,3,4,80.7,23,3.7999999999999999E-2,3.3000000000000002E-2,13,14,92,0.15217391304347827,0.14130434782608695,9.1999999999999993,0.60299999999999998,0.35599999999999998,0.54800000000000004,0.71199999999999997,45,7.5,0.52400000000000002,0.20599999999999999,0.14299999999999999,0.48299999999999998,0.191,0.159,0.151,48.1,58.8,34,7,0.20588235294117646
10769,Dak Prescott,Cowboys,1,2025,87.8,145,128,81,0.63300000000000001,1034,8.1,4,2,9,8,2.98,2,8,4,9,9,92.4,50,6.6000000000000003E-2,2.5999999999999999E-2,19,48,154,0.31168831168831168,0.12337662337662338,10.6,0.64300000000000002,0.46899999999999997,0.47699999999999998,0.74399999999999999,58,7.3,0.63500000000000001,0.22600000000000001,0.217,0.36499999999999999,0.13,0.104,0.16600000000000001,83.5,83.4,67,9,0.13432835820895522
11765,Patrick Mahomes,Chiefs,1,2025,68.3,123,105,53,0.505,773,7.4,6,5,8,9,3.34,2,9,4,7,7,74,38,6.0999999999999999E-2,0.03,19,34,134,0.2537313432835821,0.1417910447761194,12.8,0.53500000000000003,0.47599999999999998,0.41899999999999998,0.63800000000000001,83,9.1999999999999993,0.57999999999999996,0.27900000000000003,0.14000000000000001,0.439,0.186,0.23300000000000001,0.17899999999999999,63.5,70.400000000000006,60,8,0.13333333333333333
12112,Taysom Hill,Saints,0,2025,57.2,2,2,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,39.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,60,60,1,0,0
12659,Shane Buechele,Chiefs,0,2025,48.2,13,10,3,0.3,55,5.5,0,0,3,0,2.7,2,0,1,1,0,50,2,0.1,7.6999999999999999E-2,5,1,13,7.6923076923076927E-2,0.38461538461538464,16.600000000000001,0.33300000000000002,0.3,0.4,0.42899999999999999,0,0,0.90900000000000003,0.5,0.16700000000000001,9.0999999999999998E-2,0.16700000000000001,0.66700000000000004,0.154,54.2,48.4,6,3,0.5
13725,Jarrett Stidham,Broncos,0,2025,36.1,9,8,4,0.5,6,0.8,0,1,0,1,3.03,0,1,1,0,0,16.7,0,0,0.111,1,0,9,0,0.1111111111111111,5.6,0.33300000000000002,0.25,0.625,0.57099999999999995,8,8,-0.5,0.16700000000000001,0,1.5,0.5,0.33300000000000002,0.222,28.2,59.5,3,0,0
28022,Joe Burrow,Bengals,1,2025,85.2,38,34,24,0.70599999999999996,247,7.3,3,2,4,0,2.58,0,4,1,4,0,96.1,14,0.114,2.5000000000000001E-2,3,14,40,0.35,7.4999999999999997E-2,8.5,0.79300000000000004,0.52900000000000003,0.441,0.72699999999999998,0,0,0.56699999999999995,0.13800000000000001,0.27600000000000002,0.48599999999999999,6.9000000000000006E-2,0.17199999999999999,0.105,86.7,76.5,14,4,0.2857142857142857
28237,Justin Herbert,Chargers,1,2025,59.4,134,110,69,0.627,666,6,2,1,10,14,3.04,1,7,2,2,5,81.900000000000006,41,1.7999999999999999E-2,1.4999999999999999E-2,22,27,138,0.19565217391304349,0.15942028985507245,8.6,0.622,0.436,0.49099999999999999,0.72499999999999998,122,8.6999999999999993,0.60099999999999998,0.224,0.112,0.40799999999999997,0.153,0.122,0.157,47.8,69.599999999999994,66,10,0.15151515151515152
29048,Sam Darnold,Seahawks,1,2025,82.4,103,90,62,0.68899999999999995,754,8.4,4,2,7,5,2.79,4,4,1,7,1,100,38,7.1999999999999995E-2,8.9999999999999993E-3,10,28,112,0.25,8.9285714285714288E-2,9.1999999999999993,0.73299999999999998,0.42199999999999999,0.45600000000000002,0.79800000000000004,34,6.8,0.66300000000000003,0.14699999999999999,0.16,0.35299999999999998,0.12,0.187,0.214,66,87.7,42,7,0.16666666666666666
38334,Kyler Murray,Cardinals,1,2025,78.5,26,20,14,0.7,129,6.5,3,0,3,3,3.01,1,2,0,1,0,126.9,9,4.4999999999999998E-2,0,3,9,28,0.32142857142857145,0.10714285714285714,7.4,0.72199999999999998,0.5,0.4,0.77800000000000002,34,11.3,0.57399999999999995,0.111,0.222,0.52700000000000002,0.16700000000000001,0.111,0.154,67.900000000000006,79.099999999999994,7,3,0.42857142857142855
