season,week,game,game_id,player_id,player,position,team,team_id,unit,offense,offense_rank,defense,defense_rank,pass,run,receiving,pass_block,run_block,pass_rush,run_defense,coverage,discipline,run_rank,pass_rank,receiving_rank,pass_block_rank,run_block_rank,pass_rush_rank,run_defense_rank,coverage_rank,overall_snaps,pass_snaps,run_snaps,receiving_snaps,pass_block_snaps,run_block_snaps,pass_rush_snaps,run_defense_snaps,coverage_snaps
2025,1,SF@SEA,28429,60218,Abraham Lucas,T,SEA,29,offense,55.2,49,,,,,,56.9,52.6,,,,74.8,,,,40,50,,,,55,,,,28,24,,,
2025,1,HST@LA,28431,11789,Cam Robinson,T,HST,13,offense,67.4,22,,,,,,61.0,68.8,,,,79.1,,,,35,18,,,,62,,,,36,23,,,
2025,1,SF@SEA,28429,129767,Ji'Ayir Brown,S,SF,28,defense,,,60.0,,,,,,,,60.0,,69.0,,,,,,,,,15,,,,,,,2,
2025,1,CAR@JAX,28423,146904,Bam Martin-Scott,LB,CAR,5,defense,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
2025,1,DET@GB,28430,82547,Quay Walker,LB,GB,12,defense,,,57.8,43,,,,,,56.0,61.3,57.2,75.9,,,,,,,47,31,70,,,,,,2,23,42
2025,1,SF@SEA,28429,55389,Kalia Davis,DI,SF,28,defense,,,65.5,32,,,,,,54.4,67.2,,75.6,,,,,,,28,,26,,,,,,10,14,
2025,1,NYG@WAS,28427,97180,Mike Sainristil,CB,WAS,1472,defense,,,62.9,46,,,,,,60.0,66.1,61.2,76.5,,,,,,,32,56,65,,,,,,1,16,45
2025,1,PIT@NYJ,28426,100521,Troy Fautanu,T,PIT,25,offense,56.2,46,,,,,,69.1,45.5,,,,75.1,,,,28,59,,,,56,,,,36,20,,,
2025,1,LV@NE,28424,42130,Ian Thomas,TE,LV,1329,offense,53.6,47,,,,,56.5,75.4,52.3,,,,70.4,,,,5,49,,,,24,,,2,6,12,,,
2025,1,PIT@NYJ,28426,124268,Tyler Baron,ED,NYJ,22,defense,,,57.6,,,,,,,56.4,59.9,,73.5,,,,,,,,,13,,,,,,3,4,
2025,1,LV@NE,28424,101488,Tommy Eichenberg,LB,LV,1329,defense,,,70.2,,,,,,,60.0,63.4,66.8,71.3,,,,,,,,,38,,,,,,1,4,9
2025,1,MIA@IND,28422,78038,Alec Pierce,WR,IND,14,offense,57.5,70,,,,,61.0,,41.2,,,,78.3,,,53,,67,,,,59,,,28,,30,,,
2025,1,ARZ@NO,28425,129749,Paris Johnson Jr.,T,ARZ,1,offense,71.2,14,,,,,,88.4,55.8,,,,79.5,,,,3,43,,,,71,,,,42,24,,,
2025,1,KC@LAC,28419,56290,Elijah Molden,S,LAC,416,defense,,,57.4,47,,,,,,,60.0,57.3,73.3,,,,,,,47,43,59,,,,,,,10,45
2025,1,TEN@DEN,28428,144726,Gunnar Helm,TE,TEN,31,offense,63.0,22,,,,,77.5,29.4,58.3,,,,73.1,,,,30,28,,,,37,,,6,3,14,,,
2025,1,TB@ATL,28420,131633,Rachaad White,HB,TB,30,offense,58.1,,,,,62.8,59.1,17.9,60.0,,,,79.2,,,,,2,,,,14,,2,8,2,2,,,
2025,1,CIN@CLV,28421,56462,Cam Sample,ED,CIN,7,defense,,,58.9,,,,,,,58.8,60.0,,69.4,,,,,,,,,7,,,,,,1,2,
2025,1,TEN@DEN,28428,49605,Zach Allen,DI,DEN,10,defense,,,48.6,93,,,,,,57.7,43.9,,76.8,,,,,,61,104,,50,,,,,,32,14,
2025,1,MIA@IND,28422,57488,Jonathan Taylor,HB,IND,14,offense,64.7,18,,,,58.5,77.0,83.5,60.0,,,,77.6,33,,6,2,2,,,,52,,19,24,6,3,,,
2025,1,DET@GB,28430,81798,Rasheed Walker,T,GB,12,offense,63.0,32,,,,,,63.8,60.1,,,,78.0,,,,33,32,,,,53,,,,24,24,,,
2025,1,MIN@CHI,28433,47257,Durham Smythe,TE,CHI,6,offense,58.3,,,,,,58.2,73.2,58.0,,,,70.3,,,,13,,,,,26,,,1,3,3,,,
2025,1,TB@ATL,28420,66798,Josh Hayes,CB,TB,30,defense,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
2025,1,DET@GB,28430,55619,Amik Robertson,CB,DET,11,defense,,,70.7,25,,,,,,,66.4,69.1,74.7,,,,,,,31,,31,,,,,,,17,14
2025,1,DAL@PHI,28418,11770,Malik Hooker,S,DAL,9,defense,,,76.3,16,,,,,,,77.8,66.9,77.0,,,,,,,7,21,62,,,,,,,28,34
