"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","Snaps","ALL-","-2 GRD","-1.5 GRD","-1 GRD","-0.5 GRD","0 GRD","0.5 GRD","1 GRD","1.5 GRD","2 GRD","ALL+","-2% GRD","-1.5% GRD","-1% GRD","-0.5% GRD","0% GRD","0.5% GRD","1% GRD","1.5% GRD","2% GRD"
"","1725","28956","","e47706c7-e14d-41fb-b13b-83a835a1f3bc","Philip Rivers","Colts","17","QB","102","19","1","1","3","14","66","14","3","0","0","17","1.0%","1.0%","2.9%","13.7%","64.7%","13.7%","2.9%","0.0%","0.0%"
"","2241","29851","","0ce48193-e2fa-466e-a986-33f751add206","Aaron Rodgers","Steelers","08","QB","612","80","1","9","6","65","447","69","25","2","0","96","0.2%","1.5%","1.0%","10.6%","73.0%","11.3%","4.1%","0.3%","0.0%"
"","4332","33099","","64797df2-efd3-4b27-86ee-1d48f7edb09f","Joe Flacco","Bengals","16","QB","466","62","2","9","4","47","318","75","16","0","0","91","0.4%","1.9%","0.9%","10.1%","68.2%","16.1%","3.4%","0.0%","0.0%"
"","4474","33241","","73e133bf-d3f7-4fda-bd25-2fde66cb8ee1","Josh Johnson","Commanders","14","QB","72","7","1","1","0","5","48","17","0","0","0","17","1.4%","1.4%","0.0%","6.9%","66.7%","23.6%","0.0%","0.0%","0.0%"
"","4924","34452","","ade43b1a-0601-4672-83b6-d246bc066a19","Matthew Stafford","Rams","09","QB","797","105","1","9","16","79","476","170","55","3","0","228","0.1%","1.1%","2.0%","9.9%","59.7%","21.3%","6.9%","0.4%","0.0%"
"","6187","37110","","d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1","Andy Dalton","Panthers","14","QB","50","10","0","2","2","6","27","12","1","0","0","13","0.0%","4.0%","4.0%","12.0%","54.0%","24.0%","2.0%","0.0%","0.0%"
"","6332","37255","","7f3ef024-eb34-46af-8b9e-544cdf09378f","Tyrod Taylor","Jets","02","QB","178","21","0","2","5","14","121","34","2","0","0","36","0.0%","1.1%","2.8%","7.9%","68.0%","19.1%","1.1%","0.0%","0.0%"
"","7077","38605","","409d4cac-ee90-4470-9710-ebe671678339","Russell Wilson","Giants","03","QB","152","22","2","2","3","15","106","23","7","1","0","31","1.3%","1.3%","2.0%","9.9%","69.7%","15.1%","4.6%","0.7%","0.0%"
"","7102","38632","","bbd0942c-6f77-4f83-a6d0-66ec6548019e","Kirk Cousins","Falcons","18","QB","302","38","0","1","4","33","201","59","9","0","0","68","0.0%","0.3%","1.3%","10.9%","66.6%","19.5%","3.0%","0.0%","0.0%"
"","7820","39987","","cfc93f5e-105e-4a5e-88d3-f4279893cfa8","Geno Smith","Raiders","07","QB","557","71","2","9","12","48","392","90","14","0","0","104","0.4%","1.6%","2.1%","8.6%","70.4%","16.2%","2.5%","0.0%","0.0%"
"","8667","41258","","d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7","Teddy Bridgewater","Buccaneers","10","QB","20","5","0","0","0","5","14","1","0","0","0","1","0.0%","0.0%","0.0%","25.0%","70.0%","5.0%","0.0%","0.0%","0.0%"
"","9434","42344","65024","fb3b36fc-b985-4807-8199-d038d7e62a93","Jameis Winston","Giants","19","QB","77","15","0","4","1","10","39","18","4","2","0","24","0.0%","5.2%","1.3%","13.0%","50.6%","23.4%","5.2%","2.6%","0.0%"
"","9435","42345","60958","7c16c04c-04de-41f3-ac16-ad6a9435e3f7","Marcus Mariota","Commanders","08","QB","285","51","6","3","3","39","158","69","18","0","0","87","2.1%","1.1%","1.1%","13.7%","55.4%","24.2%","6.3%","0.0%","0.0%"
"","10635","43290","127679","aba8f925-ffbf-4654-bfa7-a25d3d237494","Jared Goff","Lions","16","QB","653","83","1","7","6","69","440","129","16","0","0","145","0.1%","1.1%","0.9%","10.6%","67.4%","19.8%","2.5%","0.0%","0.0%"
"","10636","43291","67961","e9a5c16b-4472-4be9-8030-3f77be7890cb","Carson Wentz","Vikings","11","QB","212","39","2","5","2","30","133","42","4","0","0","46","0.9%","2.4%","0.9%","14.1%","62.7%","19.8%","1.9%","0.0%","0.0%"
"","10725","43380","58514","ad2258ab-67f0-41c2-bcf3-f3ba145187dc","Jacoby Brissett","Cardinals","07","QB","581","82","0","5","11","66","391","102","17","0","0","119","0.0%","0.9%","1.9%","11.4%","67.3%","17.6%","2.9%","0.0%","0.0%"
"","10769","43424","50312","86197778-8d4b-4eba-affe-08ef7be7c70b","Dak Prescott","Cowboys","04","QB","712","81","1","10","8","62","461","155","31","0","0","186","0.1%","1.4%","1.1%","8.7%","64.8%","21.8%","4.3%","0.0%","0.0%"
"","10835","43490","64821","a8c3bcd7-69d0-4c5e-a876-6b33857942bc","Brandon Allen","Titans","10","QB","32","9","1","0","2","6","22","3","1","0","0","4","3.1%","0.0%","6.3%","18.8%","68.8%","9.4%","3.1%","0.0%","0.0%"
"","11757","44814","108433","7a1b8f1a-9024-4897-86b0-01c63e00305e","Mitch Trubisky","Bills","11","QB","39","6","0","0","1","5","19","12","2","0","0","14","0.0%","0.0%","2.6%","12.8%","48.7%","30.8%","5.1%","0.0%","0.0%"
"","11765","44822","163123","11cad59d-90dd-449c-a839-dddaba4fe16c","Patrick Mahomes","Chiefs","15","QB","636","87","3","9","8","67","419","128","24","0","0","152","0.5%","1.4%","1.3%","10.5%","65.9%","20.1%","3.8%","0.0%","0.0%"
"","11890","44948","122781","15bedebc-839e-450a-86f6-1f5ad1f4f820","Joshua Dobbs","Patriots","11","QB","12","3","0","0","0","3","8","1","1","0","0","2","0.0%","0.0%","0.0%","25.0%","66.7%","8.3%","8.3%","0.0%","0.0%"
"","12282","45198","126597","7738fea8-7ea2-4c4c-b589-bca90b070819","Nick Mullens","Jaguars","14","QB","3","0","0","0","0","0","2","1","0","0","0","1","0.0%","0.0%","0.0%","0.0%","66.7%","33.3%","0.0%","0.0%","0.0%"
"","12324","45536","53885","4595c8ea-9d85-4504-8a34-2c8a02349105","Cooper Rush","Ravens","15","QB","57","11","0","1","2","8","35","11","1","0","0","12","0.0%","1.8%","3.5%","14.0%","61.4%","19.3%","1.8%","0.0%","0.0%"
"","12659","53884","195933","d7c63db7-dfe8-4cd6-a684-90342d12fa26","Shane Buechele","Chiefs","17","QB","20","5","0","0","1","4","13","1","0","1","0","2","0.0%","0.0%","5.0%","20.0%","65.0%","5.0%","0.0%","5.0%","0.0%"
"","13725","47916","174417","582fe465-135a-4901-beef-60aebce99067","Jarrett Stidham","Broncos","08","QB","37","7","1","1","0","6","25","4","1","0","0","5","2.7%","2.7%","0.0%","16.2%","67.6%","10.8%","2.7%","0.0%","0.0%"
"","26152","46761","160095","d2023f5b-f73b-43ad-a816-f10dadfdfaed","Kyle Allen","Lions","08","QB","2","0","0","0","0","0","1","1","0","0","0","1","0.0%","0.0%","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%"
"","28022","52409","195420","3023ac10-4e7f-425f-9fc5-2b8e6332c92e","Joe Burrow","Bengals","09","QB","303","28","1","1","0","26","194","65","18","0","0","83","0.3%","0.3%","0.0%","8.6%","64.0%","21.4%","5.9%","0.0%","0.0%"
"","28237","52414","194571","f0a8f8e3-b9e9-46ed-85e4-eec6452a8a44","Justin Herbert","Chargers","10","QB","691","92","2","8","8","74","456","141","25","2","0","168","0.3%","1.2%","1.2%","10.7%","66.0%","20.4%","3.6%","0.3%","0.0%"
"","29048","46072","194671","13d826c5-9b22-4e0a-a877-02d8c84c546b","Sam Darnold","Seahawks","14","QB","661","82","2","7","13","61","430","122","34","1","0","157","0.3%","1.1%","2.0%","9.2%","65.0%","18.5%","5.1%","0.1%","0.0%"
