Player Id,Name,BTT%,TWP%,Pos %,Neg %,
2241,Aaron Rodgers,4.80%,2.61%,15.69%,13.07%,
4332,Joe Flacco,3.61%,3.22%,19.53%,13.30%,
4924,Matthew Stafford,7.67%,3.26%,28.61%,13.17%,
6332,Tyrod Taylor,1.43%,3.93%,20.22%,11.80%,
7102,Kirk Cousins,3.19%,1.66%,22.52%,12.58%,
7820,Geno Smith,2.95%,4.13%,18.67%,12.75%,
9435,Marcus Mariota,6.88%,4.21%,30.53%,17.89%,
10635,Jared Goff,2.68%,2.01%,22.22%,12.50%,
10636,Carson Wentz,1.69%,3.81%,21.90%,18.57%,
10725,Jacoby Brissett,3.33%,2.75%,20.48%,14.11%,
10769,Dak Prescott,4.78%,2.67%,26.12%,11.38%,
11765,Patrick Mahomes,4.29%,3.14%,23.90%,13.68%,
28022,Joe Burrow,6.62%,0.66%,27.39%,9.24%,
28237,Justin Herbert,3.87%,2.60%,24.31%,13.31%,
29048,Sam Darnold,5.67%,3.18%,23.79%,12.42%,
38334,Kyler Murray,2.30%,1.42%,22.27%,12.80%,
39395,Daniel Jones,3.14%,3.91%,24.13%,13.48%,
40291,Jalen Hurts,4.83%,1.99%,22.59%,12.29%,
40306,Jordan Love,5.86%,2.62%,26.57%,11.19%,
46416,Lamar Jackson,2.79%,3.05%,27.74%,18.58%,
46518,Baker Mayfield,4.76%,4.12%,24.71%,16.03%,
46601,Josh Allen,5.14%,2.36%,25.41%,12.70%,
52269,Davis Mills,4.22%,4.37%,25.68%,16.94%,
60323,Mac Jones,2.62%,2.99%,23.05%,9.88%,
60326,Tua Tagovailoa,4.40%,5.38%,23.23%,15.70%,
77632,Trevor Lawrence,4.77%,3.31%,27.17%,13.24%,
77672,Brock Purdy,4.17%,3.71%,27.97%,11.39%,
82118,Justin Fields,2.76%,2.54%,20.29%,13.41%,
82134,Michael Penix Jr.,2.71%,3.38%,25.23%,18.77%,
83537,Tyler Shough,3.81%,2.02%,22.67%,14.86%,
86272,Dillon Gabriel,1.52%,4.31%,14.66%,16.81%,
97408,Spencer Rattler,4.00%,5.41%,22.29%,13.38%,
97790,Bo Nix,5.03%,2.85%,21.79%,14.40%,
97993,Jayden Daniels,4.85%,3.01%,27.82%,13.53%,
123943,Bryce Young,4.53%,2.72%,23.16%,14.22%,
124199,Brady Cook,0.64%,7.07%,12.50%,21.20%,
129759,C.J. Stroud,3.34%,3.81%,22.68%,16.39%,
131396,Shedeur Sanders,4.55%,5.66%,16.23%,16.60%,
133244,Cam Ward,3.65%,3.47%,18.73%,16.77%,
143969,Drake Maye,4.93%,3.26%,28.11%,13.55%,
144622,Caleb Williams,5.35%,3.08%,26.41%,16.92%,
144918,J.J. McCarthy,7.28%,4.84%,24.84%,17.42%,
146409,Jaxson Dart,5.19%,3.36%,21.92%,15.44%,
