"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","PASS GRD","DB","ATT","COMP","COMP%","PASS YDS","PASS YPA","PASS TD","INT","SK","SCR","avgTTT","BP","PBU","BTT","DP","RTG","1D","aComp%","RUSH YDS","YPC","TWP","TWP%","BTT%","ADOT","SS%","PS%","AIR%","ACC%","PLUS%","CAT INAC%","UNC INAC%","ALL-","ALL+"
"","1725","28956","","e47706c7-e14d-41fb-b13b-83a835a1f3bc","Philip Rivers","Colts","17","QB","50.5","102","97","60","61.9%","558","5.8","4","3","5","0","2.34","2","11","3","1","78.5","34","66.3%","0","0.0","5","4.9%","3.1%","8.5","50.5%","44.3%","51.4%","50.6%","16.1%","24.1%","25.3%","19","17"
"","2241","29851","","0ce48193-e2fa-466e-a986-33f751add206","Aaron Rodgers","Steelers","08","QB","68.8","612","562","356","63.3%","3555","6.3","24","8","34","13","2.59","9","32","27","23","89.5","174","73.3%","72","5.5","16","2.6%","4.8%","6.9","59.3%","32.7%","37.5%","61.7%","14.4%","20.2%","18.1%","80","96"
"","4332","33099","","64797df2-efd3-4b27-86ee-1d48f7edb09f","Joe Flacco","Bengals","16","QB","66.8","466","443","263","59.4%","2590","5.8","15","11","19","4","2.59","6","34","16","22","76.9","133","71.6%","30","7.5","15","3.2%","3.6%","7.6","53.3%","36.6%","53.8%","58.8%","17.1%","22.8%","18.4%","62","91"
"","4474","33241","","73e133bf-d3f7-4fda-bd25-2fde66cb8ee1","Josh Johnson","Commanders","14","QB","55.4","72","62","34","54.8%","372","6.0","1","2","2","8","2.91","0","6","0","0","64.7","33","61.8%","54","6.8","2","2.8%","0.0%","8.8","45.2%","43.5%","43.8%","56.5%","4.3%","17.4%","26.1%","7","17"
"","4924","34452","","ade43b1a-0601-4672-83b6-d246bc066a19","Matthew Stafford","Rams","09","QB","91.7","797","756","469","62.0%","5862","7.8","52","9","31","9","2.74","6","59","58","33","104.1","314","71.0%","38","4.2","26","3.3%","7.7%","10.1","43.5%","50.0%","63.2%","60.2%","21.8%","18.8%","21.1%","105","228"
"","6187","37110","","d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1","Andy Dalton","Panthers","14","QB","59.6","50","38","25","65.8%","293","7.7","1","1","9","1","2.56","0","2","1","0","86.8","19","71.4%","1","1.0","4","8.0%","2.6%","9.5","44.7%","47.4%","71.7%","64.7%","14.7%","20.6%","14.7%","10","13"
"","6332","37255","","7f3ef024-eb34-46af-8b9e-544cdf09378f","Tyrod Taylor","Jets","02","QB","58.2","178","140","82","58.6%","791","5.7","5","6","15","23","3.25","6","8","2","10","68.5","55","73.0%","141","6.1","7","3.9%","1.4%","9.3","50.7%","39.3%","57.8%","58.5%","21.2%","22.0%","19.5%","21","36"
"","7077","38605","","409d4cac-ee90-4470-9710-ebe671678339","Russell Wilson","Giants","03","QB","63.5","152","130","72","55.4%","861","6.6","3","4","10","12","2.77","3","7","8","5","70.7","43","70.6%","91","7.6","7","4.6%","6.2%","10.8","43.9%","40.0%","57.5%","56.6%","15.2%","25.3%","18.2%","22","31"
"","7102","38632","","bbd0942c-6f77-4f83-a6d0-66ec6548019e","Kirk Cousins","Falcons","18","QB","75","302","282","167","59.2%","1733","6.2","10","5","13","2","2.58","2","22","9","14","81.5","97","69.9%","8","4.0","5","1.7%","3.2%","7.7","50.0%","41.8%","43.1%","57.2%","14.8%","23.1%","19.8%","38","68"
"","7820","39987","","cfc93f5e-105e-4a5e-88d3-f4279893cfa8","Geno Smith","Raiders","07","QB","58.2","557","474","309","65.2%","3117","6.6","19","17","61","19","2.82","9","41","14","18","82.2","172","74.5%","117","6.2","23","4.1%","2.9%","7.2","54.6%","38.0%","45.0%","60.1%","13.5%","19.6%","20.3%","71","104"
