player,player_id,season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Patrick Mahomes,11765,2023,1,KC,20,79.3,680,746,6.9,3,6,31,3.9,67.7,505,1,303,6.3,846,34,0.09,292,16,81.9,90.3,85.5,88.4,14,15,900,7,49.9,10.6,94.1,3.8,32,64,2,44,33,22,2.4,5234,7
Jared Goff,10635,2023,1,DET,20,77.9,662,716,7.3,2.58,10,25,3.3,67.6,484,0,266,6.2,761,32,0.13,278,11,60.3,85.6,85.2,50.5,8,12,794,10,50.1,13.9,98.7,4.9,37,8,4,32,34,19,2.4,5411,7.6
Dak Prescott,10769,2023,1,DAL,18,77,625,650,8.5,2.72,11,41,5.9,69.4,451,0,229,6.2,731,30,0.19,263,9,84.3,90,86.9,78.6,6,11,784,5,51,18.3,104.4,5.7,42,34,0,8,39,17,2.2,4919,7.6
Josh Allen,46601,2023,1,BUF,19,77.1,603,648,8.6,2.87,6,42,6.2,66.7,432,0,259,7.1,732,33,0.19,249,4,59.8,92.1,88.2,91.6,5,18,775,9,52.3,10,93.2,3.6,26,58,2,32,33,23,3,4696,7.2
Baker Mayfield,46518,2023,1,TB,19,73.9,597,643,9,2.74,17,30,4.4,64.1,412,1,248,6.6,728,29,0.08,231,30,77.8,77.2,74.8,69.5,10,12,777,3,45.6,19.4,96,6.6,48,32,0,19,34,26,3.3,4731,7.4
Jordan Love,40306,2023,1,GB,19,72.7,597,634,8.9,2.73,8,37,5.5,64.5,409,0,212,5.8,689,25,0.14,237,12,57.7,83.6,83.2,59.5,7,13,725,11,47.2,13.7,97.1,4.2,29,23,2,20,37,18,2.5,4624,7.3
Sam Howell,97599,2023,1,WAS,17,75,555,612,7.7,2.84,17,30,4.7,63.4,388,0,277,6.7,712,28,-0.15,193,32,81.3,60.2,57.6,71.5,6,21,750,3,43.4,23.5,78.9,9.1,65,33,0,34,21,31,4.1,3945,6.4
Tua Tagovailoa,60326,2023,1,MIA,18,76.1,568,600,8.1,2.33,10,36,5.8,68.2,409,0,163,5.3,655,23,0.12,237,17,56.6,86.9,88.6,29.9,3,15,683,6,49.6,19,98.6,4.7,31,19,2,17,30,23,3.4,4819,8
Jalen Hurts,40291,2023,1,PHI,18,75.8,521,573,8.9,3.11,8,29,4.8,65.8,377,0,270,4.6,661,18,0.04,211,24,66.5,86.5,83.9,76.7,6,15,693,7,45.2,14.4,89.8,5.9,39,47,0,38,24,16,2.3,4108,7.2
Trevor Lawrence,77632,2023,1,JAX,16,74.7,530,564,8.6,2.54,14,35,5.8,65.6,370,0,190,6.6,645,26,-0.04,194,15,36.5,79.7,78.6,69.9,7,14,681,8,47.4,18.4,88.5,5.4,35,41,0,13,21,26,3.8,4016,7.1
Matthew Stafford,4924,2023,1,LA,16,74.3,513,557,8.2,2.59,8,37,6.3,63,351,0,203,7.9,605,30,0.1,204,26,92.1,88.2,86,61.3,4,11,643,7,47.6,15.8,94.3,5.3,32,14,3,29,26,12,1.9,4332,7.8
C.J. Stroud,129759,2023,1,HST,17,74.2,512,553,9.3,2.93,9,26,4.4,64,354,0,219,6.8,618,26,0.1,215,13,52.1,83.2,80.4,73.4,3,5,653,4,47.2,17.4,101.7,6.1,38,25,6,23,26,18,2.8,4557,8.2
Brock Purdy,77672,2023,1,SF,19,76.6,509,552,8.6,2.73,13,32,5.5,67.8,374,0,245,4.1,618,16,0.3,240,28,70.5,87.4,81.5,92,4,12,647,5,54.5,13.1,108.2,5.2,32,24,4,22,34,21,3.2,5054,9.2
Derek Carr,8671,2023,1,NO,17,76.8,514,548,8.2,2.57,3,18,3.2,68.4,375,0,181,5.1,588,20,0.06,187,20,61.9,77.4,77,46.6,6,8,609,4,44.9,17.1,97.7,5.3,31,9,0,25,25,13,2.1,3878,7.1
Bryce Young,123943,2023,1,CAR,16,71.9,463,527,7.8,2.9,7,18,3.2,59.8,315,1,253,5.4,622,18,-0.27,150,5,27.7,56.4,53,78.1,5,10,663,6,38.3,24.5,73.7,10,62,31,1,51,11,22,3.3,2877,5.5
Lamar Jackson,46416,2023,1,BLT,18,77,478,516,9.1,3.21,11,26,4.7,66.5,343,2,230,6.8,633,25,0.04,214,3,43.3,90.4,83,90.8,8,8,675,10,49.1,19.1,101.6,7,44,72,1,18,27,19,2.8,4102,7.9
Geno Smith,7820,2023,1,SEA,15,77.4,446,499,8.2,2.73,13,32,6,64.7,323,0,223,6.4,553,22,0.05,177,29,68.8,82.9,82.1,62.8,8,9,591,6,48.6,13.9,92.1,5.6,31,20,4,28,20,20,3.4,3624,7.3
Gardner Minshew,41401,2023,1,IND,16,74.2,446,490,7.8,2.67,14,14,2.7,62.2,305,0,190,7.9,546,26,-0.03,153,14,42.5,62,60.6,59.6,4,9,580,4,41.9,17.9,84.6,6.2,34,21,0,26,15,22,3.8,3305,6.7
Justin Herbert,28237,2023,1,LAC,13,74.7,427,456,8.2,2.79,7,24,5,65.1,297,1,186,6.9,520,22,0.05,163,27,66.7,85.5,83.1,73.2,8,7,552,5,47.7,15.6,93.2,5.6,29,32,0,14,20,13,2.4,3134,6.9
Russell Wilson,7077,2023,1,DEN,15,78.8,400,447,7.8,3.07,11,27,5.6,66.4,297,0,218,5.7,530,18,-0.09,150,10,28.9,77.5,72.5,80.3,5,8,568,2,44.5,20.6,98,8.5,45,36,4,27,26,17,3,3075,6.9
Joshua Dobbs,11890,2023,1,MIN,13,72.1,390,417,8,3.03,6,12,2.7,62.8,262,0,185,6.8,485,19,-0.11,143,18,49.8,65.9,59.9,82.2,6,10,524,5,42.1,16.2,79.5,6.2,30,35,0,15,13,23,4.4,2464,5.9
Desmond Ridder,55086,2023,1,ATL,15,72.7,363,388,8.5,2.68,8,13,3.2,64.2,249,0,139,5.7,439,15,-0.06,146,2,27.6,51.9,53.2,48.8,0,12,464,5,45.6,22.3,83.4,7.1,31,19,2,15,12,26,5.6,2836,7.3
Justin Fields,82118,2023,1,CHI,13,74.4,324,370,8.8,3.39,10,21,5.5,61.4,227,0,223,5.8,457,14,-0.08,141,6,33.8,74.6,67.2,84.9,7,9,478,5,41.1,19.3,86.3,9.4,43,43,0,29,16,16,3.3,2562,6.9
Zach Wilson,82096,2023,1,NYJ,12,72.5,331,368,7.9,2.92,7,10,2.6,60.1,221,0,189,7.9,439,19,-0.24,110,22,30.8,58.2,57.2,60.9,6,7,463,2,37.8,24.3,77.2,10.5,46,25,3,21,8,12,2.6,2271,6.2
Joe Burrow,28022,2023,1,CIN,10,76.8,340,365,6.9,2.47,6,17,4.4,66.8,244,0,123,6.5,403,17,-0.04,122,7,87,77.9,76.8,68.8,6,6,422,5,46.9,19.5,91,6,24,14,1,12,15,9,2.1,2309,6.3
Mac Jones,60323,2023,1,NE,11,72.3,328,345,7.4,2.42,5,11,3.1,64.9,224,0,119,5.5,379,13,-0.22,104,19,53.8,52.2,52.2,61.3,4,12,395,4,43,18.5,77,5.8,22,12,0,8,10,23,5.8,2120,6.1
Aidan O'Connell,60516,2023,1,LV,11,74,315,343,8,2.62,8,12,3.4,62.1,213,0,122,8.6,370,20,-0.08,107,23,72.1,65.9,64.6,61.6,3,7,380,2,44.1,19.7,83.9,6.5,24,0,1,16,12,10,2.6,2218,6.5
Kenny Pickett,60515,2023,1,PIT,12,71.8,298,324,7.5,2.73,8,13,3.8,62,201,0,136,6.1,363,13,-0.13,96,25,91.3,70.6,68.8,66.7,3,4,386,2,40.5,16.9,81.4,6.3,23,14,1,14,6,7,1.8,2070,6.4
Kirk Cousins,7102,2023,1,MIN,8,80.5,293,311,7.7,2.69,1,10,3,69.5,216,0,108,8.5,331,20,0.1,112,18,46.2,86.1,85.1,64.8,7,5,353,6,45.9,15.7,103.8,5.1,17,3,2,8,18,8,2.3,2331,7.5
Kyler Murray,38334,2023,1,ARZ,8,73.5,253,268,7.5,2.8,9,8,2.8,65.7,176,1,95,5.4,304,10,-0.02,96,1,59.7,70.8,67.6,77.8,2,5,326,5,44.4,18.9,89.4,5.9,18,16,1,3,10,6,1.8,1799,6.7
