player,player_id,Season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Patrick Mahomes,11765,2024,1,KC,19,76.8,611,664,7,2.81,10,24,3.4,67.3,447,1,254,4.7,770,22,0.13,273,16,67.6,83.3,77.8,88.1,10,13,825,2,51.6,18.5,94.5,6.1,47,51,2,31,31,21,2.5,4607,6.9
Joe Burrow,28022,2024,1,CIN,17,79.6,612,652,7.7,2.65,8,38,5.5,70.6,460,1,248,5.5,725,27,0.11,264,7,56.9,93.9,92.9,74.8,8,9,775,9,52.4,19.4,108.5,6.6,48,22,1,23,43,15,1.9,4918,7.5
Jayden Daniels,97993,2024,1,WAS,20,78.1,548,594,7.7,2.95,15,22,3.5,68.4,406,1,259,5.1,736,22,0.15,250,32,75.5,90.6,84.7,90,1,10,781,2,51.4,19.7,99.7,6.9,51,87,2,28,30,12,1.5,4390,7.4
C.J. Stroud,129759,2024,1,HST,19,72.2,554,593,8.8,3.02,6,27,4.3,63.6,377,0,273,5.8,702,23,-0.02,229,13,76.3,80,77.6,73.3,10,13,741,5,42.9,23.1,87.6,9,63,45,1,22,21,21,2.8,4254,7.2
Bo Nix,97790,2024,1,DEN,18,76.7,545,589,7.9,2.98,16,23,3.7,66,389,1,194,6.9,674,29,0,204,10,91.6,78.3,73.8,81.2,4,12,712,9,44.1,13.4,93.3,3.9,26,53,1,23,30,13,1.8,3919,6.7
Baker Mayfield,46518,2024,1,TB,18,79.2,562,588,7.4,2.78,11,22,3.5,71.8,422,0,168,5.2,680,23,0.19,257,30,42.1,85.9,83.6,70.9,6,16,721,3,54,24.4,108.1,6,41,46,1,8,43,24,3.3,4685,8
Matthew Stafford,4924,2024,1,LA,18,73.2,548,588,8.3,2.62,12,26,4.2,65.5,385,0,200,4,628,16,0.06,205,26,58.5,74.7,73.3,57,9,8,667,1,48.4,17.5,95,5.6,35,4,1,18,24,25,3.7,4295,7.3
Sam Darnold,29048,2024,1,MIN,18,76.5,532,585,9.3,3.08,8,34,5.4,66,386,0,263,5.2,672,21,0.05,232,18,56.9,80.7,77.5,82.5,11,13,725,10,50,21.7,100.8,8.5,57,29,1,33,36,27,3.7,4564,7.8
Aaron Rodgers,2241,2024,1,NYJ,17,73.7,552,584,7.3,2.65,8,26,4.2,63,368,0,178,9.6,643,39,-0.03,199,22,78,77.6,76.1,71.9,6,11,684,9,44,22.5,90.5,6.2,40,16,0,18,28,12,1.8,3897,6.7
Jared Goff,10635,2024,1,DET,18,79,533,579,7.2,2.68,8,19,3.2,71.3,413,0,208,1.9,630,8,0.24,260,11,64.1,78.8,76.3,66.4,5,15,648,2,53.7,15.9,108.2,5.2,33,15,6,27,38,21,3.2,4942,8.5
Geno Smith,7820,2024,1,SEA,17,78.4,537,578,7.6,2.82,13,28,4.5,70.4,407,1,251,3.3,652,14,0.02,221,29,65.2,83.1,82.4,62.6,4,15,704,10,49.1,19.9,93.2,7.7,50,24,2,22,21,18,2.6,4320,7.5
Josh Allen,46601,2024,1,BUF,19,74.2,519,565,8.7,2.86,10,43,7,64.6,365,0,211,5.2,634,20,0.25,218,4,37.4,91.9,84.1,93.6,5,6,686,3,50.3,9,102.6,3,19,47,1,30,32,18,2.6,4367,7.7
Caleb Williams,144622,2024,1,CHI,17,73.4,504,562,8.1,3.03,12,24,3.9,62.5,351,1,241,5.1,682,19,-0.09,190,6,81.6,67.6,63.5,80.4,4,6,741,9,41.5,28.2,87.8,10,68,48,4,38,20,19,2.6,3541,6.3
Kyler Murray,38334,2024,1,ARZ,17,75.9,503,541,7.4,2.84,10,27,4.7,68.8,372,0,180,2.6,614,10,0.09,205,1,66.8,82.1,77.9,81.8,3,11,656,6,51.6,16.7,93.5,4.9,30,40,1,24,21,16,2.4,3851,7.1
Justin Herbert,28237,2024,1,LAC,18,75.7,498,536,9.2,2.87,10,33,5.7,64.6,346,0,209,8.2,618,31,0.09,196,27,59.2,91.2,90.2,72.4,8,7,662,1,44.7,21.5,97.3,7.3,45,31,3,17,24,16,2.4,4112,7.7
Lamar Jackson,46416,2024,1,BLT,19,77,478,520,9.3,3.2,11,35,6.3,67.3,350,0,232,4.9,597,18,0.32,239,3,44.2,94.9,93.3,90.4,10,5,635,8,52.6,11.2,119.9,4.4,26,47,6,15,45,10,1.6,4601,8.8
Jordan Love,40306,2024,1,GB,16,74.4,422,458,9.2,2.76,9,17,3.4,62.9,288,1,172,8.3,492,26,0.09,169,12,75.8,75.8,74.3,58,10,14,528,6,48.8,9.3,92.7,3.3,16,13,0,17,25,17,3.2,3601,7.9
Brock Purdy,77672,2024,1,SF,15,74.1,428,455,9,2.99,9,15,3.1,65.9,300,0,200,5.4,537,17,0.14,199,28,63.7,82.4,76.3,90.2,2,12,567,2,50.8,15.5,96.1,5.8,31,44,5,11,20,17,3,3864,8.5
