player,player_id,Included in rank?,Dropbacks,Shotgun,Pistol,Under center,Shotgun %,Pistol %,Under center %
Matthew Stafford,4924,1,797,488,6,303,0.61229611041405274,7.5282308657465494E-3,0.38017565872020076
Caleb Williams,144622,1,780,540,17,223,0.69230769230769229,2.1794871794871794E-2,0.28589743589743588
Bo Nix,97790,1,771,618,39,114,0.80155642023346307,5.0583657587548639E-2,0.14785992217898833
Drake Maye,143969,1,797,630,1,166,0.79046424090338774,1.2547051442910915E-3,0.20828105395232122
Dak Prescott,10769,1,712,550,13,149,0.77247191011235961,1.8258426966292134E-2,0.20926966292134833
Trevor Lawrence,77632,1,725,572,14,139,0.78896551724137931,1.9310344827586208E-2,0.19172413793103449
Jared Goff,10635,1,648,471,2,175,0.72685185185185186,3.0864197530864196E-3,0.27006172839506171
Sam Darnold,29048,1,660,421,21,218,0.63787878787878793,3.1818181818181815E-2,0.33030303030303032
Baker Mayfield,46518,1,680,562,18,100,0.82647058823529407,2.6470588235294117E-2,0.14705882352941177
Justin Herbert,28237,1,691,574,13,104,0.83068017366136038,1.8813314037626629E-2,0.15050651230101303
Cam Ward,133244,1,662,573,5,84,0.8655589123867069,7.5528700906344415E-3,0.12688821752265861
Josh Allen,46601,1,677,506,7,164,0.74741506646971934,1.03397341211226E-2,0.24224519940915806
Aaron Rodgers,2241,1,612,504,7,101,0.82352941176470584,1.1437908496732025E-2,0.16503267973856209
Bryce Young,123943,1,626,490,43,93,0.78274760383386577,6.8690095846645371E-2,0.1485623003194888
Patrick Mahomes,11765,1,636,583,10,43,0.91666666666666663,1.5723270440251572E-2,6.761006289308176E-2
C.J. Stroud,129759,1,604,485,0,119,0.80298013245033117,0,0.19701986754966888
Jalen Hurts,40291,1,602,535,16,51,0.88870431893687707,2.6578073089700997E-2,8.4717607973421927E-2
Jordan Love,40306,1,572,407,27,138,0.71153846153846156,4.72027972027972E-2,0.24125874125874125
Jacoby Brissett,10725,1,581,469,2,110,0.80722891566265065,3.4423407917383822E-3,0.18932874354561102
Geno Smith,7820,1,557,449,17,91,0.80610412926391384,3.052064631956912E-2,0.16337522441651706
Joe Flacco,4332,1,466,392,12,62,0.84120171673819744,2.575107296137339E-2,0.13304721030042918
Daniel Jones,39395,1,460,360,11,89,0.78260869565217395,2.391304347826087E-2,0.19347826086956521
