player,player_id,Included in rank?,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Josh Allen,46601,1,BUF,19,135,21,4,9.9,67,0,180,0,0,1,113,2,19,59,4,10,14,70,90.5,80.6,84,,,90.8,60,40,5,0,0,0,498,498,59,0,76,16,678,460,3.41,5,,6
Drake Maye,143969,1,NE,21,132,15,1,2.5,16,0,43,0,0,1,36,1.1,21,49,19,16,3,29.5,80.7,72.9,76.6,,60,79.7,60.4,37,2,2,1,1,515,585,74,2,59,5,628,355,2.69,4.8,2,5
Jalen Hurts,40291,1,PHI,17,110,11,2,9.4,41,0,174,0,0,5,59,6,12,42,24,8,9,61.2,79,68.1,76.7,,,71.6,60,29,5,0,0,0,435,261,40,0,70,8,435,180,1.64,4,,10
Bo Nix,97790,1,DEN,18,95,8,1,4.7,18,1,65,0,0,2,46,2.8,14,29,10,5,11,73.1,77.1,61.7,76.1,,56.6,65.3,60.3,25,9,0,0,2,436,320,38,1,57,5,385,92,0.97,4.1,0,10
Justin Herbert,28237,1,LAC,17,93,11,1,3.2,18,0,66,0,0,1,35,2.6,18,37,27,9,6,56.1,78,69.4,73,,,82.7,60,41,5,0,0,0,411,489,56,0,37,2,555,341,3.67,6,,4
Trevor Lawrence,77632,1,JAX,18,88,13,0,0,0,0,59,0,0,0,25,0,16,41,15,5,6,70.6,83.7,60.2,80.5,,,77.4,60.9,21,9,0,0,0,443,331,44,0,44,9,390,240,2.73,4.4,,6
Jaxson Dart,146409,1,NYG,14,86,10,3,11.7,57,1,197,0,0,3,68,8.9,18,38,21,5,23,51.4,67.9,5.8,64.2,,60,76.9,60.2,29,9,0,0,1,325,290,38,0,48,9,487,220,2.56,5.7,0,6
Caleb Williams,144622,1,CHI,19,86,16,0,0,0,0,31,0,0,0,21,0,16,33,6,10,5,66,76.9,64,72.2,62.2,89.3,82.1,60.2,29,10,22,2,4,517,417,49,2,39,3,448,202,2.35,5.2,5.5,7
Justin Fields,82118,1,NYJ,9,71,9,1,3.9,15,0,141,0,0,4,45,9.7,10,26,22,5,6,44.4,67.3,66.7,65.5,,55.2,65.8,60,43,3,0,0,2,221,242,28,1,43,4,383,118,1.66,5.4,0,20
Lamar Jackson,46416,1,BLT,13,67,10,1,4.9,17,0,130,0,0,5,40,14.6,15,24,3,6,9,45.5,74,57.5,69,,58.9,78.6,60.7,19,4,0,0,1,308,219,30,0,37,2,349,209,3.12,5.2,0,15
