Player,Clean-pocket grade,Standard-dropback grade,Grade on first and second down,Grade on plays with no play-action,Grade on passes thrown at or beyond the first-down marker,Negatively graded play rate,Sack rate,Pressured-passing grade,Grade on passes thrown from outside the pocket,Grade on third and fourth down,Grade on play-action plays,Positively graded throw rate
Aaron Rodgers,26,24,22,48,62,76,62,41,81,55,14,7
Joe Flacco,48,43,49,26,32,69,88,24,6,21,69,24
Matthew Stafford,98,98,98,95,95,71,90,88,69,76,86,95
Tyrod Taylor,5,7,2,23,0,67,33,86,95,63,3,14
Kirk Cousins,74,79,71,83,54,83,81,73,3,86,63,62
Geno Smith,45,17,12,19,8,74,2,2,22,36,11,12
Marcus Mariota,86,90,88,40,43,14,50,34,0,57,89,98
Jared Goff,57,74,61,74,76,88,50,63,25,64,51,50
Carson Wentz,7,7,7,12,0,5,10,17,16,10,3,36
Jacoby Brissett,52,52,59,43,38,48,33,44,17,17,40,19
Dak Prescott,71,88,63,86,81,83,76,95,53,90,83,71
Patrick Mahomes,19,14,39,55,54,50,62,80,89,40,23,36
Joe Burrow,93,98,93,98,97,98,52,98,94,98,31,93
Justin Herbert,64,55,68,52,27,55,14,61,72,45,74,48
Sam Darnold,79,76,95,69,84,83,67,80,86,33,97,69
Kyler Murray,38,67,24,40,66,62,31,37,3,52,22,19
Daniel Jones,33,57,32,71,30,62,71,85,42,79,29,64
Jalen Hurts,50,71,46,76,57,86,55,76,61,88,34,26
Jordan Love,95,93,78,90,92,93,88,66,33,93,77,83
Lamar Jackson,60,38,76,14,68,2,7,39,58,12,94,88
Baker Mayfield,43,33,29,36,19,26,62,49,67,60,51,45
Josh Allen,67,67,73,64,78,67,38,56,81,62,71,57
Davis Mills,90,50,20,45,49,29,79,0,16,86,31,83
Mac Jones,76,69,85,60,73,95,67,27,81,43,91,57
Tua Tagovailoa,33,26,27,19,38,31,40,20,44,29,51,60
Trevor Lawrence,69,86,83,88,65,55,45,85,28,76,57,86
Brock Purdy,83,83,66,93,89,93,93,93,92,95,54,90
Justin Fields,29,24,5,31,71,45,5,51,75,71,19,10
Michael Penix Jr.,12,10,44,7,5,7,83,12,86,5,66,74
Tyler Shough,62,48,51,69,59,36,31,7,33,50,9,43
Dillon Gabriel,5,2,2,2,0,26,24,5,11,2,11,2
Spencer Rattler,21,67,54,52,11,64,45,73,11,21,26,31
Bo Nix,55,60,37,64,46,40,98,22,36,48,17,29
Jayden Daniels,88,29,90,79,86,38,36,32,97,26,67,76
Bryce Young,17,48,34,57,43,62,74,93,56,69,51,38
Brady Cook,0,0,0,0,0,0,0,2,27,0,3,0
C.J. Stroud,38,19,10,21,16,19,69,15,39,67,20,40
Shedeur Sanders,2,5,0,5,3,19,19,10,3,7,0,5
Cam Ward,10,12,17,10,3,14,24,46,64,24,31,14
Drake Maye,81,83,80,81,70,45,19,73,47,86,80,83
Caleb Williams,40,40,56,31,24,10,95,59,53,31,60,67
J.J. McCarthy,24,36,41,24,14,26,12,54,19,17,37,52
Jaxson Dart,17,31,15,36,22,33,26,32,14,38,6,21
