player,player_id,Included in rank?,Horizontal lead,Horizontal lead atts,Vertical lead,Vertical lead atts,Over shoulder,Over shoulder atts,Stick,Stick att,Vertical back shoulder,Vertical back shoulder atts,Open under,Open under atts,Swing,Swing att,Bubble,Bubble att,Shovel,Shovel att,Jet,Jet att,Jump ball,Jump ball atts,Open behind,Open behind atts
Matthew Stafford,4924,1,85.4,384,95.3,96,96.2,44,90,82,72.599999999999994,10,64.5,43,54.3,7,63.3,6,62.2,2,#N/A,#N/A,63.5,3,76.400000000000006,1
Caleb Williams,144622,1,78.599999999999994,345,78.7,66,83.8,16,66.900000000000006,94,67.400000000000006,3,71.2,28,59.4,18,58.1,8,63.3,3,63.1,3,68,3,70.7,1
Bo Nix,97790,1,70.7,301,93.5,57,83.1,41,79.3,110,43,12,66.7,32,61.1,38,69,18,59.6,3,#N/A,#N/A,59.7,1,#N/A,#N/A
Drake Maye,143969,1,76.5,283,91.9,73,78.8,43,87.9,114,84.5,10,67.599999999999994,32,58.6,23,65.400000000000006,6,64.099999999999994,4,60.1,1,60.2,2,74.2,2
Dak Prescott,10769,1,89.1,317,91.8,54,59.4,40,80.900000000000006,121,65.099999999999994,4,64.3,32,64,28,60,1,64.2,4,#N/A,#N/A,34.200000000000003,4,#N/A,#N/A
Trevor Lawrence,77632,1,87.1,302,78.5,78,84.1,23,77.5,102,50.3,9,66.8,27,60,18,63.1,3,62,2,63.5,3,#N/A,#N/A,#N/A,#N/A
Jared Goff,10635,1,81.5,304,90.1,40,90.4,11,76.2,98,58.4,6,63.7,17,65.2,22,64.8,6,60.4,1,60,1,#N/A,#N/A,47.3,1
Sam Darnold,29048,1,77.5,295,95.5,61,81.400000000000006,33,77,93,61.1,4,66.599999999999994,26,58.3,10,64.900000000000006,5,75.7,4,60.1,1,#N/A,#N/A,#N/A,#N/A
Baker Mayfield,46518,1,65.7,261,84.2,68,50.4,21,72.599999999999994,100,89.4,8,62,14,61.7,33,64.599999999999994,5,#N/A,#N/A,60,1,57.3,3,81.3,3
Justin Herbert,28237,1,80.2,273,92.1,47,71.2,18,68.900000000000006,118,75,9,65.3,30,62.7,14,67.3,10,71.8,3,64,4,#N/A,#N/A,#N/A,#N/A
Cam Ward,133244,1,78.8,234,65.5,53,57.5,25,78,87,46.2,12,49.3,38,40,14,60.5,15,61.9,2,64.2,4,46.4,1,#N/A,#N/A
Josh Allen,46601,1,88.5,265,92.5,62,65.7,18,81,65,75.8,11,67.900000000000006,26,64.400000000000006,28,64,20,67.5,12,#N/A,#N/A,51.5,2,#N/A,#N/A
Aaron Rodgers,2241,1,72.099999999999994,226,73.2,60,71.3,32,85.1,53,60.4,15,67.5,31,68,34,69.8,25,67,3,63.3,3,55.7,5,71.599999999999994,1
Bryce Young,123943,1,74.900000000000006,245,70.900000000000006,50,91.6,24,68.8,90,45.6,10,68.599999999999994,19,63.9,30,63.4,3,59.9,3,62,2,#N/A,#N/A,#N/A,#N/A
Patrick Mahomes,11765,1,75.5,233,74.8,61,60.8,14,86.4,69,40.5,7,57.3,21,62.6,22,69.8,23,79.099999999999994,2,66.099999999999994,7,47.6,4,#N/A,#N/A
C.J. Stroud,129759,1,66.3,293,58.7,42,69,29,78.099999999999994,73,73.3,9,67.400000000000006,21,66.2,13,60,1,#N/A,#N/A,#N/A,#N/A,60.7,1,76.400000000000006,1
Jalen Hurts,40291,1,76.599999999999994,244,74,33,83.6,41,80.8,95,86.7,5,64.599999999999994,15,57.8,22,61.7,4,64.8,5,65.400000000000006,6,59.5,1,51.7,1
Jordan Love,40306,1,91.9,235,94,39,84.9,40,74.7,70,74.599999999999994,3,42.1,21,59.2,30,64.5,8,60,1,62.2,2,42.2,4,#N/A,#N/A
Jacoby Brissett,10725,1,79.099999999999994,221,71.900000000000006,44,84.4,20,61.1,103,90.8,15,58.4,28,63.5,12,65.3,6,60.1,1,#N/A,#N/A,60.8,3,#N/A,#N/A
Geno Smith,7820,1,61.9,192,72,37,60.7,16,72.400000000000006,97,59.2,15,70.400000000000006,28,60.2,25,64.3,4,62,2,60,1,59.3,1,60,1
Joe Flacco,4332,1,71.599999999999994,188,90.4,28,92.2,25,68.7,77,32.4,11,38,35,64,19,67.3,10,#N/A,#N/A,60.1,1,52.4,2,#N/A,#N/A
